# Serializing assets/vocabularies/filetypes/latest/filetypes.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/file-type
# title: File type
# version: 20210929-0
# description: File type
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
TSV,http://publications.europa.eu/resource/authority/file-type/TSV,false,2013-10-02,TSV,TSV,,
TXT,http://publications.europa.eu/resource/authority/file-type/TXT,false,2012-09-01,TXT,Plain text,,
WAR,http://publications.europa.eu/resource/authority/file-type/WAR,false,1999-01-01,WAR,WAR,,
WARC,http://publications.europa.eu/resource/authority/file-type/WARC,false,2009-05-15,WARC,WARC,,
WARC_GZ,http://publications.europa.eu/resource/authority/file-type/WARC_GZ,false,2012-09-01,WARC_GZ,WARC GZ,,
WCS_SRVC,http://publications.europa.eu/resource/authority/file-type/WCS_SRVC,false,2003-08-27,WCS_SRVC,WCS,,
WFS_SRVC,http://publications.europa.eu/resource/authority/file-type/WFS_SRVC,false,2006-01-01,WFS_SRVC,WFS,,
WIM,http://publications.europa.eu/resource/authority/file-type/WIM,false,2007-01-30,WIM,WIM,,
WMS_SRVC,http://publications.europa.eu/resource/authority/file-type/WMS_SRVC,false,1999-01-01,WMS_SRVC,WMS,,
WORLD,http://publications.europa.eu/resource/authority/file-type/WORLD,false,2001-03-26,WORLD,World file,,
XHTML,http://publications.europa.eu/resource/authority/file-type/XHTML,false,2012-09-01,XHTML,XHTML,,
XHTML_SIMPL,http://publications.europa.eu/resource/authority/file-type/XHTML_SIMPL,false,2012-09-01,XHTML_SIMPL,XHTML simplified,,
XLIFF,http://publications.europa.eu/resource/authority/file-type/XLIFF,false,2001-05-30,XLIFF,XLIFF,,
XLS,http://publications.europa.eu/resource/authority/file-type/XLS,false,2012-09-01,XLS,Excel XLS,,
XLSB,http://publications.europa.eu/resource/authority/file-type/XLSB,false,2007-01-30,XLSB,XLSB,,
XLSM,http://publications.europa.eu/resource/authority/file-type/XLSM,false,2007-01-30,XLSM,XLSM,,
XLSX,http://publications.europa.eu/resource/authority/file-type/XLSX,false,2012-09-01,XLSX,Excel XLSX,,
XML,http://publications.europa.eu/resource/authority/file-type/XML,false,2012-09-01,XML,XML,,
XSLFO,http://publications.europa.eu/resource/authority/file-type/XSLFO,false,2012-09-01,XSLFO,XSL-FO,,
XSLT,http://publications.europa.eu/resource/authority/file-type/XSLT,false,2012-09-01,XSLT,XSLT,,
XYZ,http://publications.europa.eu/resource/authority/file-type/XYZ,false,2010-10-10,XYZ,XYZ Chemical File,,
XZ,http://publications.europa.eu/resource/authority/file-type/XZ,false,2010-10-23,XZ,xz,,
Z,http://publications.europa.eu/resource/authority/file-type/Z,false,1985-02-01,Z,Z,,
ZIP,http://publications.europa.eu/resource/authority/file-type/ZIP,false,2012-09-01,ZIP,ZIP,,
