# Serializing assets/vocabularies/languages/latest/languages.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/language
# title: Language
# version: 20210929-0
# description: Language
key,url,deprecated,valid_until,valid_from,country_code,label_en,label_it
ALQ,http://publications.europa.eu/resource/authority/language/ALQ,false,,1950-05-09,ALQ,,
ALR,http://publications.europa.eu/resource/authority/language/ALR,false,,1950-05-09,ALR,,
ALS,http://publications.europa.eu/resource/authority/language/ALS,false,,1950-05-09,ALS,,
ALT,http://publications.europa.eu/resource/authority/language/ALT,false,,1950-05-09,ALT,,
ALU,http://publications.europa.eu/resource/authority/language/ALU,false,,1950-05-09,ALU,,
ALW,http://publications.europa.eu/resource/authority/language/ALW,false,,1950-05-09,ALW,,
ALX,http://publications.europa.eu/resource/authority/language/ALX,false,,1950-05-09,ALX,,
ALY,http://publications.europa.eu/resource/authority/language/ALY,false,,1950-05-09,ALY,,
ALZ,http://publications.europa.eu/resource/authority/language/ALZ,false,,1950-05-09,ALZ,,
AMA,http://publications.europa.eu/resource/authority/language/AMA,false,,1950-05-09,AMA,,
AMB,http://publications.europa.eu/resource/authority/language/AMB,false,,1950-05-09,AMB,,
AMC,http://publications.europa.eu/resource/authority/language/AMC,false,,1950-05-09,AMC,,
AME,http://publications.europa.eu/resource/authority/language/AME,false,,1950-05-09,AME,,
AMF,http://publications.europa.eu/resource/authority/language/AMF,false,,1950-05-09,AMF,,
AMG,http://publications.europa.eu/resource/authority/language/AMG,false,,1950-05-09,AMG,,
AMH,http://publications.europa.eu/resource/authority/language/AMH,false,,1950-05-09,AMH,Amharic,amarico
AMI,http://publications.europa.eu/resource/authority/language/AMI,false,,1950-05-09,AMI,,
AMJ,http://publications.europa.eu/resource/authority/language/AMJ,false,,1950-05-09,AMJ,,
AMK,http://publications.europa.eu/resource/authority/language/AMK,false,,1950-05-09,AMK,,
AML,http://publications.europa.eu/resource/authority/language/AML,false,,1950-05-09,AML,,
AMM,http://publications.europa.eu/resource/authority/language/AMM,false,,1950-05-09,AMM,,
AMN,http://publications.europa.eu/resource/authority/language/AMN,false,,1950-05-09,AMN,,
AMO,http://publications.europa.eu/resource/authority/language/AMO,false,,1950-05-09,AMO,,
AMP,http://publications.europa.eu/resource/authority/language/AMP,false,,1950-05-09,AMP,,
AMQ,http://publications.europa.eu/resource/authority/language/AMQ,false,,1950-05-09,AMQ,,
AMR,http://publications.europa.eu/resource/authority/language/AMR,false,,1950-05-09,AMR,,
AMS,http://publications.europa.eu/resource/authority/language/AMS,false,,1950-05-09,AMS,,
AMT,http://publications.europa.eu/resource/authority/language/AMT,false,,1950-05-09,AMT,,
AMU,http://publications.europa.eu/resource/authority/language/AMU,false,,1950-05-09,AMU,,
AMV,http://publications.europa.eu/resource/authority/language/AMV,false,,1950-05-09,AMV,,
AMW,http://publications.europa.eu/resource/authority/language/AMW,false,,1950-05-09,AMW,,
AMX,http://publications.europa.eu/resource/authority/language/AMX,false,,1950-05-09,AMX,,
AMY,http://publications.europa.eu/resource/authority/language/AMY,false,,1950-05-09,AMY,,
AMZ,http://publications.europa.eu/resource/authority/language/AMZ,false,,1950-05-09,AMZ,,
ANA,http://publications.europa.eu/resource/authority/language/ANA,false,,1950-05-09,ANA,,
ANB,http://publications.europa.eu/resource/authority/language/ANB,false,,1950-05-09,ANB,,
ANC,http://publications.europa.eu/resource/authority/language/ANC,false,,1950-05-09,ANC,,
AND,http://publications.europa.eu/resource/authority/language/AND,false,,1950-05-09,AND,,
ANE,http://publications.europa.eu/resource/authority/language/ANE,false,,1950-05-09,ANE,,
