# Serializing assets/vocabularies/multilingual/latest/multilingual.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/multilingual
# title: Multilingual
# version: 20210616-0
# description: Multilingual
key,url,deprecated,country_code,label_en,label_it
6H0,http://publications.europa.eu/resource/authority/multilingual/6H0,false,6H0,Multilingual Code,
6I0,http://publications.europa.eu/resource/authority/multilingual/6I0,false,6I0,Multilingual Code,
6J0,http://publications.europa.eu/resource/authority/multilingual/6J0,false,6J0,Multilingual Code,
6K0,http://publications.europa.eu/resource/authority/multilingual/6K0,false,6K0,Multilingual Code,
6L0,http://publications.europa.eu/resource/authority/multilingual/6L0,false,6L0,Multilingual Code,
6M0,http://publications.europa.eu/resource/authority/multilingual/6M0,false,6M0,Multilingual Code,
6N0,http://publications.europa.eu/resource/authority/multilingual/6N0,false,6N0,Multilingual Code,
6P0,http://publications.europa.eu/resource/authority/multilingual/6P0,false,6P0,Multilingual Code,
6Q0,http://publications.europa.eu/resource/authority/multilingual/6Q0,false,6Q0,Multilingual Code,
6R0,http://publications.europa.eu/resource/authority/multilingual/6R0,false,6R0,Multilingual Code,
6S0,http://publications.europa.eu/resource/authority/multilingual/6S0,false,6S0,Multilingual Code,
6T0,http://publications.europa.eu/resource/authority/multilingual/6T0,false,6T0,Multilingual Code,
6U0,http://publications.europa.eu/resource/authority/multilingual/6U0,false,6U0,Multilingual Code,
6V0,http://publications.europa.eu/resource/authority/multilingual/6V0,false,6V0,Multilingual Code,
6W0,http://publications.europa.eu/resource/authority/multilingual/6W0,false,6W0,Multilingual Code,
6X0,http://publications.europa.eu/resource/authority/multilingual/6X0,false,6X0,Multilingual Code,
6Y0,http://publications.europa.eu/resource/authority/multilingual/6Y0,false,6Y0,Multilingual Code,
6Z0,http://publications.europa.eu/resource/authority/multilingual/6Z0,false,6Z0,Multilingual Code,
700,http://publications.europa.eu/resource/authority/multilingual/700,false,700,Multilingual Code,
710,http://publications.europa.eu/resource/authority/multilingual/710,false,710,Multilingual Code,
720,http://publications.europa.eu/resource/authority/multilingual/720,false,720,Multilingual Code,
730,http://publications.europa.eu/resource/authority/multilingual/730,false,730,Multilingual Code,
740,http://publications.europa.eu/resource/authority/multilingual/740,false,740,Multilingual Code,
750,http://publications.europa.eu/resource/authority/multilingual/750,false,750,Multilingual Code,
760,http://publications.europa.eu/resource/authority/multilingual/760,false,760,Multilingual Code,
770,http://publications.europa.eu/resource/authority/multilingual/770,false,770,Multilingual Code,
780,http://publications.europa.eu/resource/authority/multilingual/780,false,780,Multilingual Code,
790,http://publications.europa.eu/resource/authority/multilingual/790,false,790,Multilingual Code,
7A0,http://publications.europa.eu/resource/authority/multilingual/7A0,false,7A0,Multilingual Code,
7B0,http://publications.europa.eu/resource/authority/multilingual/7B0,false,7B0,Multilingual Code,
7C0,http://publications.europa.eu/resource/authority/multilingual/7C0,false,7C0,Multilingual Code,
7D0,http://publications.europa.eu/resource/authority/multilingual/7D0,false,7D0,Multilingual Code,
7E0,http://publications.europa.eu/resource/authority/multilingual/7E0,false,7E0,Multilingual Code,
7F0,http://publications.europa.eu/resource/authority/multilingual/7F0,false,7F0,Multilingual Code,
7G0,http://publications.europa.eu/resource/authority/multilingual/7G0,false,7G0,Multilingual Code,
7H0,http://publications.europa.eu/resource/authority/multilingual/7H0,false,7H0,Multilingual Code,
7I0,http://publications.europa.eu/resource/authority/multilingual/7I0,false,7I0,Multilingual Code,
7J0,http://publications.europa.eu/resource/authority/multilingual/7J0,false,7J0,Multilingual Code,
7K0,http://publications.europa.eu/resource/authority/multilingual/7K0,false,7K0,Multilingual Code,
7L0,http://publications.europa.eu/resource/authority/multilingual/7L0,false,7L0,Multilingual Code,
7M0,http://publications.europa.eu/resource/authority/multilingual/7M0,false,7M0,Multilingual Code,
7N0,http://publications.europa.eu/resource/authority/multilingual/7N0,false,7N0,Multilingual Code,
7P0,http://publications.europa.eu/resource/authority/multilingual/7P0,false,7P0,Multilingual Code,
7Q0,http://publications.europa.eu/resource/authority/multilingual/7Q0,false,7Q0,Multilingual Code,
7R0,http://publications.europa.eu/resource/authority/multilingual/7R0,false,7R0,Multilingual Code,
7S0,http://publications.europa.eu/resource/authority/multilingual/7S0,false,7S0,Multilingual Code,
7T0,http://publications.europa.eu/resource/authority/multilingual/7T0,false,7T0,Multilingual Code,
7U0,http://publications.europa.eu/resource/authority/multilingual/7U0,false,7U0,Multilingual Code,
7V0,http://publications.europa.eu/resource/authority/multilingual/7V0,false,7V0,Multilingual Code,
7W0,http://publications.europa.eu/resource/authority/multilingual/7W0,false,7W0,Multilingual Code,
